Type,Darwin_Core,Data_type
event,eventID,uuid
event,dateCreated,timestamp without time zone
event,createdBy,text
event,eventDate,timestamp without time zone
event,eventRemarks,text
event,locationID,uuid
event,_import,jsonb
event_to_image,eventID,uuid
event_to_image,imageID,uuid
event_to_person,eventID,uuid
event_to_person,personID,uuid
event_to_person,rank,integer
identification,identificationID,uuid
identification,occurrenceID,uuid
identification,taxonID,uuid
identification,identificationRemarks,text
identification,legacyIdentifiedBy,text
identification,createdBy,text
identification,_import,jsonb
identification_identified_by,identificationID,uuid
identification_identified_by,personID,uuid
identification_identified_by,rank,integer
image,imageID,uuid
image,dateCreated,timestamp without time zone
image,createdBy,text
image,originalFileName,text
image,imageRemarks,text
image,photographer,uuid
image,_import,jsonb
location,locationID,uuid
location,dateCreated,timestamp without time zone
location,createdBy,text
location,country,text
location,stateProvince,text
location,county,text
location,municipality,text
location,locality,text
location,decimalLatitude,numeric
location,decimalLongitude,numeric
location,verbatimCoordinateSystem,text
location,locationRemarks,text
location,_import,jsonb
occurrence,occurrenceID,uuid
occurrence,recordNumber,text
occurrence,recordNumberSuffix,text
occurrence,occurrenceRemarks,text
occurrence,eventID,uuid
occurrence,dateCreated,timestamp without time zone
occurrence,createdBy,text
occurrence,_import,jsonb
occurrence_recorded_by,occurrenceID,uuid
occurrence_recorded_by,personID,uuid
occurrence_recorded_by,rank,integer
occurrence_to_image,occurrenceID,uuid
occurrence_to_image,imageID,uuid
person,personID,uuid
person,name,text
person,identifyingName,text
person,dateCreated,timestamp without time zone
person,createdBy,text
person,_import,jsonb
person,orcid,text
person,location,text
person,institution,text
person_image,personID,uuid
person_image,imageID,uuid
person_to_image,personID,uuid
person_to_image,imageID,uuid
taxon,taxonID,uuid
taxon,family,text
taxon,genus,text
taxon,specificEpithet,text
taxon,infraspecificEpithet,text
taxon,scientificNameAuthorship,text
taxon,_import,jsonb
taxon,scientificNameID,text
taxon,kingdom,text
taxon,phylum,text
taxon,class,text
taxon,order,text
taxon,taxonomicStatus,text
taxon,scientificName,text
taxon,currentName,text
taxon,dataSourceTitleShort,text